name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,price_per_kilometer
Mahindra KUV 100 mFALCON G80 K8 5str,9,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82,5.0,22038.56749311295
Maruti Ertiga SHVS VDI,9,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,31729.200652528547
Hyundai i20 1.4 CRDi Asta,13,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90,5.0,21739.130434782608
Maruti Alto LX,23,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,7614.213197969543
Hyundai i20 2015-2017 Asta 1.4 CRDi,9,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,30168.589174800356
Mahindra Verito 1.5 D4 BSIII,14,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,8285.714285714286
Honda WR-V i-DTEC VX,8,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,37254.901960784315
Maruti Swift Dzire ZDI,10,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74,5.0,19744.264761188417
Maruti SX4 ZDI,13,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,27906.976744186046
Tata Tigor 2017-2020 XZ,7,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,24630.54187192118
Maruti Baleno Delta 1.2,9,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,26869.158878504673
Maruti Alto 800 LXI,8,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,11133.603238866397
Chevrolet Enjoy TCDi LTZ 7 Seater,12,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,16483.516483516483
Maruti Wagon R LXI Minor,16,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67,5.0,11640.21164021164
Maruti Omni E MPI STD BS IV,7,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,15178.511904761905
Maruti Vitara Brezza LDi Option,8,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,27572.01646090535
Fiat Palio 1.2 ELX,22,70000,50000,Petrol,Individual,Manual,Second Owner,19.41878335651954,,,,3604.757245334767
Maruti Omni 8 Seater BSIV,13,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35,5.0,10714.285714285714
Hyundai i20 1.2 Asta Dual Tone,7,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,39247.31182795699
Maruti Vitara Brezza LDi,8,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,26748.971193415637
Maruti Alto 800 CNG LXI Optional,6,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0,9868.42105263158
Maruti Alto K10 VXI Airbag,6,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,15281.837160751566
Hyundai Verna VTVT 1.6 SX Option,6,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,67588.23529411765
Datsun GO D,9,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67,5.0,7270.964614638876
Tata Safari DICOR 2.2 LX 4x2,14,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,30509.691313711413
Maruti 800 Std,13,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37,4.0,9316.770186335403
Jeep Compass 1.4 Limited Plus BSIV,6,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,131250.0
Honda City i VTEC VX,7,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,51966.292134831456
Honda City V MT,12,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,25297.619047619046
Maruti Swift Dzire VXi AT,7,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,36486.48648648649
Maruti Vitara Brezza VDi,7,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,33744.81481481481
Maruti Alto K10 VXI,7,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,16283.9248434238
Toyota Fortuner 4x4 MT,11,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,119521.9123505976
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,12,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100,7.0,53887.60585065435
Mercedes-Benz B Class B180,11,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,97972.97297297297
Honda Amaze S Diesel,10,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,17206.477732793523
Mitsubishi Pajero Sport 4X4,12,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,80740.74074074074
Honda City i DTEC S,10,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,23076.923076923078
Maruti Ciaz Zeta,7,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,41162.22760290557
Honda Jazz VX Diesel,10,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,19230.76923076923
Toyota Innova Crysta 2.8 ZX AT BSIV,9,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,145246.47887323945
Toyota Innova 2.5 G (Diesel) 7 Seater,9,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,73133.17936874519
Audi A6 2.0 TDI Technology,12,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,98981.90045248868
Toyota Corolla Altis 1.8 VL CVT,7,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,111344.53781512605
Audi A6 2.0 TDI  Design Edition,12,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,91203.39989206691
Mercedes-Benz New C-Class 220 CDI AT,12,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170,5.0,96024.25876010781
Tata Manza ELAN Quadrajet BS IV,14,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,12547.348484848484
Hyundai i10 Magna,14,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,9332.023575638506
Hyundai i20 Asta 1.4 CRDi,12,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,19981.19417019276
Maruti Swift Dzire ZDI,10,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74,5.0,23693.1177134261
Ford Figo 1.2P Titanium MT,8,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,33039.64757709251
Maruti Baleno Delta 1.2,6,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,30373.831775700935
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,9,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,24545.454545454544
Honda City i DTEC VX,10,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,25099.601593625495
Maruti Wagon R AMT VXI,7,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67,5.0,21843.003412969283
Volkswagen Ameo 1.5 TDI Comfortline,8,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,23084.025854108957
Maruti Vitara Brezza VDi,9,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,30658.43621399177
Maruti Vitara Brezza ZDi Plus AMT,6,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,42181.06995884774
Hyundai i10 Magna,14,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,11542.239685658153
Maruti Swift VDI Deca,9,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74,5.0,25000.0
Toyota Fortuner 4x4 MT,10,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,135458.16733067727
Maruti Swift Star VDI,12,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74,5.0,19650.655021834064
Maruti Ertiga ZXI,13,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,28089.88764044944
Tata Indica DLS,22,50000,70000,Diesel,Individual,Manual,First Owner,19.41878335651954,,,,2574.826603810548
Volkswagen Vento Diesel Highline,12,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,21908.471275559885
Toyota Innova 2.5 VX (Diesel) 8 Seater,9,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,92378.75288683602
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,10,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,26789.63548528766
BMW X1 sDrive20i xLine,9,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189,5.0,159134.30935709737
Maruti Celerio ZXI MT BSIV,8,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,20995.627705627703
Datsun GO A Petrol,9,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,14458.464773922187
Maruti Alto 800 VXI BSIV,9,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,12753.036437246963
Maruti Alto 800 LXI BSIV,9,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,11133.603238866397
Maruti Swift VDI BSIV W ABS,10,475000,78000,Diesel,Dealer,Manual,First Owner,19.41878335651954,,,,24460.852736200206
Hyundai i10 Era 1.1,13,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,14639.071176173651
Maruti Omni 8 Seater BSIV,8,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35,5.0,20000.0
Maruti Wagon R LXI LPG BSIV,15,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0,8587.786259541985
Volkswagen Polo 1.2 MPI Comfortline,10,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74,5.0,27625.98664238009
Hyundai i10 Magna 1.1L,10,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,17718.324078748108
Volkswagen Vento Petrol Highline,13,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,35571.8085106383
Maruti Zen Estilo LXI BSIII,16,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,9615.384615384615
Hyundai i20 Asta Optional with Sunroof 1.2,12,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,28378.37837837838
Maruti Swift Dzire LDI,9,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74,5.0,22564.87401278676
Hyundai Xcent 1.2 Kappa SX Option AT,9,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82,5.0,29581.15183246073
Maruti Alto LX BSIII,17,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,6091.370558375635
Hyundai i20 1.4 Asta Option,8,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,32165.039929015085
Maruti Wagon R VXI,16,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,8490.13308857274
Tata Manza Aura (ABS) Quadrajet,15,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90,5.0,10638.297872340425
Maruti Swift VXI,6,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,28995.756718528995
Maruti Eeco 7 Seater Standard BSIV,9,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73,7.0,17566.68835393624
Maruti Baleno Zeta 1.2,7,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,28504.672897196262
Mahindra Scorpio VLX AT AIRBAG BSIV,11,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120,8.0,53011.02629346905
Ford Freestyle Titanium Petrol BSIV,5,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,21052.63157894737
Hyundai Verna VTVT 1.6 SX,8,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,50941.17647058824
Volkswagen Passat 1.8 TSI MT,15,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160,5.0,48951.04895104895
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,15,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65,5.0,18987.341772151896
Mahindra XUV500 W11 Option AWD,6,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155,7.0,112582.78145695364
Tata Indigo CS LS (TDI) BS-III,9,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,19643.792561550552
Hyundai Verna 1.6 SX,12,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,23387.09677419355
Hyundai i20 Magna 1.4 CRDi (Diesel),12,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,20639.223744292238
Toyota Corolla Altis G,16,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,20646.937370956643
Maruti Celerio VXI,5,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,21960.24040684235
Maruti Vitara Brezza ZDi Plus Dual Tone,9,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,32098.765432098764
Maruti Swift Dzire VXI,8,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,28537.17026378897
Maruti Wagon R VXI BS IV,8,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,21452.94978059483
Maruti Swift VDI BSIV,15,300000,120000,Diesel,Individual,Manual,Second Owner,19.41878335651954,,,,15448.959622863287
Nissan Terrano XL 85 PS,11,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,19559.902200489
Hyundai Creta 1.6 CRDi SX,9,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,57956.27859684799
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,8,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,36956.52173913043
Maruti Swift Dzire VDi,13,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,19170.984455958547
Renault KWID 1.0,7,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67,5.0,15210.777922642328
Maruti Celerio VXI,10,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,15584.415584415583
Maruti Alto LXi,17,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,5329.949238578681
Maruti Ertiga VDI,12,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,30091.478093403948
Hyundai Santro Xing GLS,16,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,7533.482142857142
Maruti Ertiga VDI,10,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,33702.45546461242
Honda Amaze S i-VTEC,6,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,38764.04494382023
Audi Q5 35TDI Premium Plus,7,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188,5.0,233686.06701940033
Jaguar XF 2.0 Diesel Portfolio,8,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177,5.0,165545.78375581998
Jeep Wrangler 2016-2019 3.6 4X4,8,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280,5.0,431578.94736842107
Land Rover Discovery Sport TD4 SE,6,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0,350740.45206547156
BMW 5 Series 520d Sport Line,7,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,168594.30604982207
BMW X1 sDrive 20D xLine,8,2150000,27000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,,,,110717.54396385356
Skoda Superb LK 1.8 TSI AT,7,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,127130.1295160191
Mercedes-Benz E-Class E250 Edition E,9,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204,5.0,180000.0
MG Hector Sharp AT BSIV,6,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141,5.0,125358.16618911174
Honda City i-VTEC CVT VX,8,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,44166.666666666664
Toyota Corolla Altis 1.8 G CVT,12,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,43767.507002801125
Volvo XC40 D4 R-Design,7,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190,5.0,188888.88888888888
Audi Q7 35 TDI Quattro Premium,10,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0,219552.6097763049
Maruti Ciaz ZDi,10,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,20412.05646699733
BMW 5 Series 523i,15,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150,5.0,90277.77777777777
Hyundai Elantra S,9,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0,49386.503067484664
Jaguar XE 2016-2019 2.0L Diesel Prestige,8,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177,5.0,193014.70588235295
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,7,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,47705.882352941175
Volkswagen Vento Petrol Highline,14,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,24933.510638297874
Hyundai Elantra SX,13,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5.0,33742.33128834356
Skoda Rapid 1.6 MPI AT Elegance,9,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,45104.895104895106
Mercedes-Benz CLA 200 CGI Sport,7,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183,5.0,169547.87234042553
Maruti Ertiga ZXI,11,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,37390.76154806492
Mercedes-Benz New C-Class C 200 AVANTGARDE,8,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0,183175.0339213026
Honda City V AT,8,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,56089.74358974359
Toyota Glanza V CVT,6,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,45756.595092024545
Maruti Alto K10 VXI,14,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,7306.889352818372
Maruti Swift VXI,13,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,16030.17444601603
Toyota Innova Crysta 2.8 ZX AT BSIV,9,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,134242.95774647887
Tata Nexon 1.5 Revotorq XZA Plus DualTone,7,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,47674.41860465116
BMW 3 Series 320d Luxury Line,9,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190,5.0,94755.39885412075
Toyota Camry 2.5 Hybrid,9,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0,99164.92693110647
BMW 5 Series 520d Luxury Line,9,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190,5.0,160044.15011037528
Toyota Camry W4 (AT),16,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5.0,37190.0826446281
Maruti Ertiga BSIV ZXI Plus,9,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0,48571.42857142857
Volkswagen Vento Diesel Highline,14,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,14605.647517039923
Ford Figo Aspire 1.2 Ti-VCT Trend,7,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,31662.995594713655
Ford Figo Diesel LXI,14,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68,5.0,8000.0
Maruti Swift VXI Optional,10,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,25245.09803921569
Maruti Wagon R AMT VXI,10,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67,5.0,19015.11457825451
Hyundai i20 Magna 1.2,9,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,29569.892473118278
Maruti 800 Std,26,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37,4.0,2484.4720496894406
Maruti Ritz VDi,15,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,10426.54028436019
Hyundai Grand i10 Magna,10,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82,5.0,22486.77248677249
Volkswagen Ameo 1.0 MPI Trendline,6,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75,5.0,24691.358024691355
Hyundai Grand i10 Sportz,11,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82,5.0,21164.021164021167
Maruti Swift Dzire VXI,11,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,25497.382198952877
Hyundai Xcent 1.2 Kappa S,9,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82,5.0,20209.42408376963
Honda City 1.5 EXI,20,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100,5.0,7692.307692307692
Toyota Corolla Altis Diesel D4DG,15,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,13999.066728884742
Daewoo Matiz SD,25,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53,5.0,5405.405405405405
Toyota Fortuner 4x2 Manual,11,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7.0,134615.38461538462
Mahindra KUV 100 mFALCON G80 K8,9,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82,6.0,24793.388429752067
Tata Zest Quadrajet 1.3 75PS XM,8,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74,5.0,21350.762527233117
Honda City 1.5 S MT,16,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118,5.0,20294.117647058825
Maruti Zen LXI,20,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60,5.0,4913.294797687861
Maruti Wagon R VXI BS IV with ABS,15,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,11375.661375661377
Hyundai Verna Transform SX VTVT,15,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0,19753.086419753086
Maruti Swift Dzire VXI,9,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0,22062.302158273378
Hyundai Getz GLS,20,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83,5.0,4248.366013071895
Hyundai Elite i20 Sportz Plus BSIV,5,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,38709.67741935483
Maruti Ciaz 1.3 Alpha,8,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0,28479.88608045568
Tata Tigor 1.2 Revotron XZ,6,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84,5.0,25615.76354679803
Maruti Ertiga VDI,10,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,27924.891670678866
Toyota Etios GD,13,235000,120000,Diesel,Individual,Manual,First Owner,19.41878335651954,,,,12101.685037909576
Honda City i VTEC S,10,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0,34482.75862068966
Honda Brio S MT,11,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5.0,14948.453608247424
Maruti Wagon R LXI CNG,9,360000,50000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,13533.834586466164
Maruti Swift Dzire VXI,8,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,26378.896882494002
Hyundai i20 Sportz 1.2,12,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0,20270.27027027027
Maruti Omni E 8 Str STD,22,40000,90000,Petrol,Individual,Manual,Second Owner,19.41878335651954,,,,2059.8612830484385
